route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66-203,Weekday-1,1275-06601-26100-2-83810504,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-26100-2-f822f701,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekday-4,1261-29802-65400-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-65400-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-66600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-66600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekday-1,1275-06601-27000-2-83810504,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-27000-2-e684db1a,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-27900-2-3d1b0c65,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-27900-2-e684db1a,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-28800-2-0985a033,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Daily-2,1261-29802-67800-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-67800-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-69000-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-69000-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekend-1,1275-06601-28800-2-e684db1a,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-29700-2-0985a033,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-29700-2-20ce2ed1,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
